X1,Y1,X2,Y2,,,,,,
-1.87E-03,-2.40E-02,-1.87E-03,-2.40E-02,,,,,,
-1.87E-03,-3.20E-02,-1.87E-03,-2.40E-02,,,,,,
-1.87E-03,-4.00E-02,-1.87E-03,-3.20E-02,,,,,,
-1.87E-03,-3.20E-02,-1.87E-03,-3.20E-02,,,,,,
-1.87E-03,-4.00E-02,-1.87E-03,-3.20E-02,,,,,,
-1.86E-03,-4.00E-02,-1.86E-03,-4.00E-02,,,,,,
-1.86E-03,-4.80E-02,-1.86E-03,-4.00E-02,,,,,,
-1.86E-03,-4.80E-02,-1.86E-03,-4.80E-02,,,,,,
-1.86E-03,-5.60E-02,-1.86E-03,-5.60E-02,,,,,,
-1.86E-03,-5.60E-02,-1.86E-03,-5.60E-02,,,,,,
-1.85E-03,-6.40E-02,-1.85E-03,-6.40E-02,,,,,,
-1.85E-03,-5.60E-02,-1.85E-03,-5.60E-02,,,,,,
-1.85E-03,-7.20E-02,-1.85E-03,-5.60E-02,,,,,,
-1.85E-03,-6.40E-02,-1.85E-03,-6.40E-02,,,,,,
-1.85E-03,-8.00E-02,-1.85E-03,-7.20E-02,,,,,,
-1.84E-03,-7.20E-02,-1.84E-03,-6.40E-02,,,,,,
-1.84E-03,-8.80E-02,-1.84E-03,-8.00E-02,,,,,,
-1.84E-03,-8.80E-02,-1.84E-03,-8.00E-02,,,,,,
-1.84E-03,-8.80E-02,-1.84E-03,-7.20E-02,,,,,,
-1.84E-03,-9.60E-02,-1.84E-03,-8.00E-02,,,,,,
-1.83E-03,-8.80E-02,-1.83E-03,-8.00E-02,,,,,,
-1.83E-03,-1.04E-01,-1.83E-03,-7.20E-02,,,,,,
-1.83E-03,-9.60E-02,-1.83E-03,-8.00E-02,,,,,,
-1.83E-03,-9.60E-02,-1.83E-03,-9.60E-02,,,,,,
-1.83E-03,-1.12E-01,-1.83E-03,-9.60E-02,,,,,,
-1.82E-03,-1.12E-01,-1.82E-03,-9.60E-02,,,,,,
-1.82E-03,-1.12E-01,-1.82E-03,-1.04E-01,,,,,,
-1.82E-03,-1.12E-01,-1.82E-03,-1.04E-01,,,,,,
-1.82E-03,-1.12E-01,-1.82E-03,-1.04E-01,,,,,,
-1.82E-03,-1.20E-01,-1.82E-03,-1.12E-01,,,,,,
-1.81E-03,-1.20E-01,-1.81E-03,-1.04E-01,,,,,,
-1.81E-03,-1.28E-01,-1.81E-03,-1.20E-01,,,,,,
-1.81E-03,-1.28E-01,-1.81E-03,-1.28E-01,,,,,,
-1.81E-03,-1.28E-01,-1.81E-03,-1.20E-01,,,,,,
-1.81E-03,-1.36E-01,-1.81E-03,-1.28E-01,,,,,,
-1.80E-03,-1.36E-01,-1.80E-03,-1.28E-01,,,,,,
-1.80E-03,-1.36E-01,-1.80E-03,-1.20E-01,,,,,,
-1.80E-03,-1.36E-01,-1.80E-03,-1.28E-01,,,,,,
-1.80E-03,-1.36E-01,-1.80E-03,-1.28E-01,,,,,,
-1.80E-03,-1.36E-01,-1.80E-03,-1.28E-01,,,,,,
-1.79E-03,-1.36E-01,-1.79E-03,-1.28E-01,,,,,,
-1.79E-03,-1.52E-01,-1.79E-03,-1.36E-01,,,,,,
-1.79E-03,-1.52E-01,-1.79E-03,-1.36E-01,,,,,,
-1.79E-03,-1.44E-01,-1.79E-03,-1.44E-01,,,,,,
