Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
-0.325;-0.74;;;;;;;-0.085;-0.57;;;0.253;0.53;;
-0.307;-0.73;;;;;;;-0.075;-0.55;;;0.254;0.53;;
-0.289;-0.72;;;;;;;-0.067;-0.54;;;0.24;0.53;;
-0.271;-0.72;;;;;;;-0.058;-0.52;;;0.22;0.52;;
-0.254;-0.71;;;;;;;-0.049;-0.51;;;0.195;0.51;;
-0.236;-0.7;;;;;;;-0.04;-0.49;;;0.171;0.5;;
-0.219;-0.69;;;;;;;-0.032;-0.47;;;;;;
-0.202;-0.68;;;;;;;-0.025;-0.46;;;;;;
-0.184;-0.66;;;;;;;-0.017;-0.44;;;;;;
-0.168;-0.65;;;;;;;-0.01;-0.42;;;;;;
-0.15;-0.64;;;;;;;-0.004;-0.39;;;;;;
-0.135;-0.62;;;;;;;0.003;-0.37;;;;;;
-0.119;-0.6;;;;;;;0.009;-0.35;;;;;;
-0.103;-0.58;;;;;;;0.014;-0.33;;;;;;
